"modelo","familia","estadistico","observado","pred_mediana","pred_ICr95_inferior","pred_ICr95_superior","observado_fuera_ICr95"
"poisson_no_ajustado","Poisson","frecuencia_valor_12",0.0117664148750726,0.0084253341080767,0.00639163277164439,0.0106042998256827,TRUE
"poisson_ajustado","Poisson","media",5.71472303206997,5.71217201166181,5.63582725947522,5.79170189504373,FALSE
"poisson_ajustado","Poisson","varianza",7.67585843034858,6.27594923271206,6.03343331174763,6.54528884821585,TRUE
"poisson_ajustado","Poisson","proporcion_cero",0.0271137026239067,0.00466472303206997,0.00320699708454811,0.0065597667638484,TRUE
"poisson_ajustado","Poisson","proporcion_predicha_negativa",0,0,0,0,FALSE
"poisson_ajustado","Poisson","minimo",0,0,0,0,FALSE
"poisson_ajustado","Poisson","maximo",20,17,16,20,FALSE
"poisson_ajustado","Poisson","cuantil_0.01",0,1,1,1,TRUE
"poisson_ajustado","Poisson","cuantil_0.05",1,2,2,2,TRUE
"poisson_ajustado","Poisson","cuantil_0.25",4,4,4,4,FALSE
"poisson_ajustado","Poisson","cuantil_0.5",6,6,5,6,FALSE
"poisson_ajustado","Poisson","cuantil_0.75",8,7,7,7,TRUE
"poisson_ajustado","Poisson","cuantil_0.95",10,10,10,10,FALSE
"poisson_ajustado","Poisson","cuantil_0.99",13,12,12,13,FALSE
"poisson_ajustado","Poisson","frecuencia_valor_5",0.163411078717201,0.160349854227405,0.151162536443149,0.169682944606414,FALSE
"poisson_ajustado","Poisson","frecuencia_valor_8",0.117930029154519,0.0916180758017493,0.0845481049562682,0.0988374635568513,TRUE
"poisson_ajustado","Poisson","frecuencia_valor_12",0.0118075801749271,0.0100583090379009,0.00772594752186589,0.0123943148688047,FALSE
"negbin_no_ajustado","Binomial negativa","media",5.71353864032539,5.71361127251598,5.62083817547937,5.80450682742592,FALSE
"negbin_no_ajustado","Binomial negativa","varianza",7.6630972248615,7.9569970790104,7.52397632614793,8.36998375531408,FALSE
"negbin_no_ajustado","Binomial negativa","proporcion_cero",0.0271644392794887,0.00798954096455549,0.00595583962812318,0.0103137710633353,TRUE
"negbin_no_ajustado","Binomial negativa","proporcion_predicha_negativa",0,0,0,0,FALSE
"negbin_no_ajustado","Binomial negativa","minimo",0,0,0,0,FALSE
"negbin_no_ajustado","Binomial negativa","maximo",20,20,18,24,FALSE
"negbin_no_ajustado","Binomial negativa","cuantil_0.01",0,1,0,1,FALSE
"negbin_no_ajustado","Binomial negativa","cuantil_0.05",1,2,2,2,TRUE
"negbin_no_ajustado","Binomial negativa","cuantil_0.25",4,4,4,4,FALSE
"negbin_no_ajustado","Binomial negativa","cuantil_0.5",6,5,5,6,FALSE
"negbin_no_ajustado","Binomial negativa","cuantil_0.75",8,7,7,8,FALSE
"negbin_no_ajustado","Binomial negativa","cuantil_0.95",10,11,11,11,TRUE
"negbin_no_ajustado","Binomial negativa","cuantil_0.99",13,13,13,14,FALSE
"negbin_no_ajustado","Binomial negativa","frecuencia_valor_5",0.163131900058106,0.146281231841952,0.137710633352702,0.15514235909355,TRUE
